latitude,longitude,elevation
-27.0706588402,-48.9429822005,34.13
-27.0706535596,-48.9429744054,34.13
-27.0706525538,-48.9429739863,33.89
-27.0706580020,-48.9429902472,33.89
-27.0706620254,-48.9430161472,33.89
-27.0706627797,-48.9430402033,33.89
-27.0706586726,-48.9430602361,33.89
-27.0706538111,-48.9430843759,33.90
-27.0706560742,-48.9431065880,33.90
-27.0706579182,-48.9431261178,33.90
-27.0706663840,-48.9431391098,33.90
-27.0706723351,-48.9431545325,33.90
-27.0706764422,-48.9431694523,33.90
-27.0706833992,-48.9431858808,33.90
-27.0706900209,-48.9432039857,33.90
-27.0706857461,-48.9432227612,33.90
-27.0706792921,-48.9432433806,33.90
-27.0706765261,-48.9432617370,33.90
-27.0706801303,-48.9432818536,33.90
-27.0706819743,-48.9432992041,33.90
-27.0706934575,-48.9433093462,33.91
-27.0707084611,-48.9433151297,33.91
-27.0707241353,-48.9433114417,33.91
-27.0707348641,-48.9433101844,33.91
-27.0707424916,-48.9433073346,33.91
-27.0707622729,-48.9433080889,33.91
-27.0707779471,-48.9433116093,33.91
-27.0707928669,-48.9433151297,33.92
-27.0708124805,-48.9433186501,33.92
-27.0708266459,-48.9433247689,33.91
-27.0708465949,-48.9433278702,33.92
-27.0708700642,-48.9433333185,33.92
-27.0708892588,-48.9433371741,33.92
-27.0709098782,-48.9433399402,33.93
-27.0709311683,-48.9433406107,33.92
-27.0709532965,-48.9433373418,33.92
-27.0709734131,-48.9433352463,33.92
-27.0709944516,-48.9433383476,33.93
-27.0710133109,-48.9433439635,33.93
-27.0710320864,-48.9433503337,33.93
-27.0710505266,-48.9433525968,33.93
-27.0710665360,-48.9433573745,33.93
-27.0710880775,-48.9433598891,33.94
-27.0711097866,-48.9433676843,33.94
-27.0711255446,-48.9433661755,33.94
-27.0711419731,-48.9433610626,33.94
-27.0711584855,-48.9433524292,33.95
-27.0711710583,-48.9433452208,33.95
-27.0711901691,-48.9433349948,33.96
-27.0712068491,-48.9433240984,33.96
-27.0712212659,-48.9433183149,33.96
-27.0712380297,-48.9433275349,33.97
-27.0712552126,-48.9433273673,33.97
-27.0712641813,-48.9433220867,33.96
-27.0712739881,-48.9433192369,31.70
-27.0712758321,-48.9433136210,31.72
-27.0712757483,-48.9433087595,31.72
-27.0712720603,-48.9433078375,31.73
-27.0712697972,-48.9433034789,31.73
-27.0712670311,-48.9433021378,31.73
-27.0712571405,-48.9432975277,31.74
-27.0712487586,-48.9432915766,31.74
-27.0712433942,-48.9432876371,31.75
-27.0712322462,-48.9432871342,31.75
-27.0712212659,-48.9432842843,31.76
-27.0712122973,-48.9432753995,31.77
-27.0711982995,-48.9432637487,31.77
-27.0711934380,-48.9432513434,31.77
-27.0711922646,-48.9432435483,31.78
-27.0711877383,-48.9432339929,31.79
-27.0711807813,-48.9432142954,31.78
-27.0711748302,-48.9431995433,31.78
-27.0711672865,-48.9431853779,31.76
-27.0711649396,-48.9431848750,31.77
-27.0711584855,-48.9431891497,31.77
-27.0711600780,-48.9431843720,31.78
-27.0711523667,-48.9431846235,31.79
-27.0711430628,-48.9431811869,31.78
-27.0711279754,-48.9431684464,31.79
-27.0711145643,-48.9431515150,31.79
-27.0711107925,-48.9431397803,31.79
-27.0711078588,-48.9431348350,31.80
-27.0711015724,-48.9431250282,31.80
-27.0710947830,-48.9431125391,31.80
-27.0710854791,-48.9430983737,31.80
-27.0710726548,-48.9430899918,31.80
-27.0710675418,-48.9430837892,31.80
-27.0710684638,-48.9430800173,31.80
-27.0710655302,-48.9430774190,31.80
-27.0710605010,-48.9430707134,31.81
-27.0710514486,-48.9430673607,31.81
-27.0710408036,-48.9430641755,31.81
-27.0710326731,-48.9430587273,31.81
-27.0710216928,-48.9430547040,31.81
-27.0710054319,-48.9430492558,31.82
-27.0709934458,-48.9430491719,31.82
-27.0709798671,-48.9430535305,31.82
-27.0709620975,-48.9430517703,31.82
-27.0709372032,-48.9430548716,31.82
-27.0709041785,-48.9430548716,31.82
-27.0708820503,-48.9430457354,31.82
-27.0708580781,-48.9430367667,31.82
-27.0708351117,-48.9430307318,31.83
-27.0708139054,-48.9430225175,31.83
-27.0707928669,-48.9430177398,31.83
-27.0707719121,-48.9430210926,31.84
-27.0707506221,-48.9430186618,31.84
-27.0707305893,-48.9430115372,31.84
-27.0707091317,-48.9430029038,31.85
-27.0706776157,-48.9429900795,31.85
-27.0706742629,-48.9429941028,31.85
-27.0706759393,-48.9430012275,31.84
-27.0706879254,-48.9430153929,31.84
-27.0706917811,-48.9430325758,31.84
-27.0706934575,-48.9430501778,31.85
-27.0706936251,-48.9430707134,31.84
-27.0706915297,-48.9430912491,31.84
-27.0707010850,-48.9431132097,31.83
-27.0707068685,-48.9431340806,31.84
-27.0707158372,-48.9431613218,31.84
-27.0707272366,-48.9431876410,31.84
-27.0707414020,-48.9432112779,31.84
-27.0707562380,-48.9432284608,31.84
-27.0707560703,-48.9432247728,31.84
-27.0707476884,-48.9432147983,31.84
-27.0707462635,-48.9432096016,31.84
-27.0707416534,-48.9431982022,31.84
-27.0707377978,-48.9431804325,31.84
-27.0707356185,-48.9431643393,31.84
-27.0707261469,-48.9431363437,31.84
-27.0707124006,-48.9431044925,31.84
-27.0707060304,-48.9430749044,31.83
-27.0707155019,-48.9430497587,31.83
-27.0707185194,-48.9430550393,31.83
-27.0707377978,-48.9430603199,31.83
-27.0707522146,-48.9430778380,31.83
-27.0707565732,-48.9430919196,31.83
-27.0707667992,-48.9431161433,31.83
-27.0707775280,-48.9431378525,31.82
-27.0707900170,-48.9431693684,31.82
-27.0707959682,-48.9431911614,31.82
-27.0708011650,-48.9432147145,31.82
-27.0708085410,-48.9432399441,31.83
-27.0708155818,-48.9432658441,31.83
-27.0708217844,-48.9432871342,31.83
-27.0708353631,-48.9432996232,31.83
-27.0708409790,-48.9432989527,31.83
-27.0708421525,-48.9432936721,31.83
-27.0708377101,-48.9432786684,31.83
-27.0708270650,-48.9432568755,31.83
-27.0708221197,-48.9432418719,31.83
-27.0708172582,-48.9432228450,31.83
-27.0708112232,-48.9432034828,31.82
-27.0708044339,-48.9431808516,31.82
-27.0707927831,-48.9431603160,31.82
-27.0707874186,-48.9431346674,31.82
-27.0707866643,-48.9431085996,31.82
-27.0707870834,-48.9430795144,31.82
-27.0707942918,-48.9430678636,31.82
-27.0708192699,-48.9430688694,31.82
-27.0708360337,-48.9430786762,31.82
-27.0708455052,-48.9430969488,31.82
-27.0708513726,-48.9431159757,31.82
-27.0708544739,-48.9431358408,31.82
-27.0708555635,-48.9431577176,31.82
-27.0708575752,-48.9431798458,31.82
-27.0708642807,-48.9432044886,31.82
-27.0708662085,-48.9432261139,31.82
-27.0708736684,-48.9432469849,31.82
-27.0708823856,-48.9432676882,31.81
-27.0708880853,-48.9432855416,31.81
-27.0708996523,-48.9433111064,31.81
-27.0709144883,-48.9433158003,31.81
-27.0709165838,-48.9433013834,31.81
-27.0709151588,-48.9432902355,31.81
-27.0709087048,-48.9432743937,31.81
-27.0709017478,-48.9432557859,31.81
-27.0708958805,-48.9432281256,31.80
-27.0708804578,-48.9432042371,31.80
-27.0708683878,-48.9431784209,31.80
-27.0708612632,-48.9431578852,31.80
-27.0708660409,-48.9431401156,31.80
-27.0708740037,-48.9431194961,31.79
-27.0709163323,-48.9430847112,31.79
-27.0709180087,-48.9430630021,31.79
-27.0709441602,-48.9430498425,31.79
-27.0709778555,-48.9430564642,31.79
-27.0709871594,-48.9430729765,31.79
-27.0709915180,-48.9430972002,31.79
-27.0709896740,-48.9431183226,31.79
-27.0709900092,-48.9431402832,31.79
-27.0709994808,-48.9431662671,31.79
-27.0710060187,-48.9431837853,31.79
-27.0710175019,-48.9431997947,31.79
-27.0710271411,-48.9432164747,31.79
-27.0710339304,-48.9432374295,31.79
-27.0710353553,-48.9432549477,31.79
-27.0710412227,-48.9432689454,31.79
-27.0710503589,-48.9432797581,31.79
-27.0710642729,-48.9432955161,31.78
-27.0710821263,-48.9433109388,31.79
-27.0710957889,-48.9433214162,31.79
-27.0711108763,-48.9433280379,31.79
-27.0711287297,-48.9433451369,31.78
-27.0715935901,-48.9434124436,31.55
-27.0715928357,-48.9434095100,31.55
-27.0715899859,-48.9433908183,31.55
-27.0715832803,-48.9433692768,31.55
-27.0715738088,-48.9433481544,31.55
-27.0715604816,-48.9433246851,31.55
-27.0715502556,-48.9433033951,31.55
-27.0715424605,-48.9432806801,31.55
-27.0715333242,-48.9432576299,31.55
-27.0715204999,-48.9432363398,31.55
-27.0715105254,-48.9432126191,31.55
-27.0714997966,-48.9431922510,31.55
-27.0714842901,-48.9431745652,31.56
-27.0714760758,-48.9431564603,31.56
-27.0714669395,-48.9431355055,31.56
-27.0714603178,-48.9431130420,31.56
-27.0714535285,-48.9430903271,31.56
-27.0714448113,-48.9430666063,31.56
-27.0714382734,-48.9430411253,31.56
-27.0714365970,-48.9430197515,31.57
-27.0714322384,-48.9429982100,31.57
-27.0714310650,-48.9429749921,31.57
-27.0714134630,-48.9429661073,31.57
-27.0714070089,-48.9429723099,31.57
-27.0714092720,-48.9429839607,31.57
-27.0714115351,-48.9429993834,31.57
-27.0714199170,-48.9430139679,31.57
-27.0714243595,-48.9430224337,31.58
-27.0714354236,-48.9430340845,31.58
-27.0714417938,-48.9430535305,31.58
-27.0714440569,-48.9430738986,31.58
-27.0714464039,-48.9430949371,31.58
-27.0714486670,-48.9431174006,31.58
-27.0714528579,-48.9431357570,31.58
-27.0714609884,-48.9431502577,31.58
-27.0714714658,-48.9431672730,31.58
-27.0714811049,-48.9431857131,31.58
-27.0714857150,-48.9432069194,31.58
-27.0714886487,-48.9432250243,31.59
-27.0714966953,-48.9432423748,31.59
-27.0715054963,-48.9432613179,31.59
-27.0715136267,-48.9432788361,31.59
-27.0715220924,-48.9432925824,31.59
-27.0715337433,-48.9433152135,31.59
-27.0715404488,-48.9433335699,31.59
-27.0715412870,-48.9433485735,31.59
-27.0715301391,-48.9433593862,31.59
-27.0715180691,-48.9433594700,31.59
-27.0714968629,-48.9433634933,31.59
-27.0714823622,-48.9433582127,31.59
-27.0714599825,-48.9433545247,31.59
-27.0714525227,-48.9433510043,31.59
-27.0714448951,-48.9433419518,31.59
-27.0714413747,-48.9433299657,31.59
-27.0714277122,-48.9433235116,31.59
-27.0714158099,-48.9433188178,31.60
-27.0714083500,-48.9433145430,31.60
-27.0714177378,-48.9433178119,31.60
-27.0714177378,-48.9433230087,30.84
-27.0714265388,-48.9433191530,30.84
-27.0714260358,-48.9433166385,30.84
