x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
596190.8950974334,7262305.04498247,1022.45,J,22.0,205.78661043581087,193.56156638730317,8.009999999999991
596190.8777623457,7262304.989411728,1022.45,J,22.0,205.76927534816787,193.50599564611912,8.009999999999991
596190.8684394569,7262304.868814001,1022.45,J,22.0,205.75995245936792,193.38539791852236,8.009999999999991
596190.8342854541,7262304.831920246,1022.45,J,22.0,205.72579845658038,193.34850416332483,8.009999999999991
596190.6627652867,7262304.545365278,1022.45,J,22.0,205.55427828920074,193.06194919534028,8.009999999999991
596190.2117581333,7262303.072643663,1022.46,J,22.0,205.1032711357111,191.58922758046538,8.019999999999982
596189.9612731639,7262301.1808269955,1022.46,J,22.0,204.8527861663606,189.69741091318429,8.019999999999982
596189.3960736768,7262299.133404461,1022.44,J,22.0,204.28758667921647,187.64998837839812,8.0
596188.8070655215,7262297.318192469,1022.44,J,22.0,203.6985785239376,185.8347763866186,8.0
596187.8796089789,7262295.588886782,1022.44,J,22.0,202.7711219813209,184.10547069925815,8.0
596186.9420553906,7262293.627584033,1022.46,J,22.0,201.83356839301996,182.14416795037687,8.019999999999982
596185.9632836787,7262291.833663676,1022.45,J,22.0,200.85479668120388,180.35024759359658,8.009999999999991
596184.4952441112,7262290.377291979,1022.45,J,22.0,199.38675711362157,178.8938758969307,8.009999999999991
596183.5578204201,7262288.434559253,1022.45,J,22.0,198.44933342258446,176.95114317070693,8.009999999999991
596183.1532162805,7262286.321037746,1022.44,J,22.0,198.0447292829631,174.83762166369706,8.0
596182.5843935501,7262284.969797442,1022.44,J,22.0,197.47590655251406,173.48638135939837,8.0
596182.6098154233,7262284.969620721,1018.63,J,22.0,197.50132842571475,173.4862046390772,4.189999999999941
596182.0482837077,7262284.667216742,1024.37,J,22.0,196.93979671015404,173.18380066007376,9.929999999999836
596181.7055023145,7262284.131235999,1024.36,J,22.0,196.59701531694736,172.6478199167177,9.919999999999845
596181.6882962986,7262284.09422441,1024.37,J,22.0,196.57980930106714,172.61080832779408,9.929999999999836
596181.6710802474,7262284.057223965,1024.36,J,22.0,196.56259324983694,172.57380788307637,9.919999999999845
596181.6200327981,7262284.029727654,1024.36,J,22.0,196.51154580060393,172.54631157126278,9.919999999999845
596181.6111717283,7262283.974097995,1024.36,J,22.0,196.5026847308036,172.49068191275,9.919999999999845
596181.6108491211,7262283.927689014,1021.83,J,22.0,196.50236212357413,172.44427293166518,7.389999999999986
596181.5008508629,7262283.956293745,1021.83,J,22.0,196.39236386539415,172.4728776626289,7.389999999999986
596180.9428896636,7262282.94842758,1021.85,J,22.0,195.83440266607795,171.4650114979595,7.409999999999968
596180.0727626059,7262280.930964449,1021.82,J,22.0,194.9642756083049,169.44754836708307,7.3799999999999955
596179.066377071,7262278.821637059,1021.83,J,22.0,193.95789007341955,167.3382209762931,7.389999999999986
596178.2541589059,7262276.5995663265,1021.82,J,22.0,193.14567190839443,165.11615024413913,7.3799999999999955
596177.51200087,7262274.701887127,1021.82,J,22.0,192.4035138724139,163.21847104467452,7.3799999999999955
596176.5251446979,7262272.963702539,1021.81,J,22.0,191.41665770031977,161.48028645664454,7.369999999999891
596175.7985257212,7262270.861710285,1021.8,J,22.0,190.69003872363828,159.3782942024991,7.3599999999999
596175.0788425774,7262268.536893694,1021.81,J,22.0,189.97035557986237,157.05347761139274,7.369999999999891
596174.3773232782,7262266.3883156795,1021.81,J,22.0,189.26883628068026,154.90489959716797,7.369999999999891
596173.4910889772,7262264.491637746,1021.81,J,22.0,188.38260197965428,153.00822166353464,7.369999999999891
596172.3600074961,7262262.735895319,1021.8,J,22.0,187.25152049853932,151.25247923657298,7.3599999999999
596171.6646278733,7262261.469076695,1021.8,J,22.0,186.55614087579306,149.98566061258316,7.3599999999999
596171.8502789122,7262260.13116295,1021.8,J,22.0,186.74179191468284,148.64774686750025,7.3599999999999
596171.8698624389,7262258.070383963,1021.8,J,22.0,186.76137544133235,146.58696788083762,7.3599999999999
596171.9316968337,7262255.990762308,1021.8,J,22.0,186.82320983614773,144.50734622590244,7.3599999999999
596171.8825654251,7262253.800518362,1021.8,J,22.0,186.77407842758112,142.31710227951407,7.3599999999999
596171.8438535376,7262251.888669336,1021.02,J,22.0,186.73536654002964,140.40525325387716,6.579999999999927
596171.4049590732,7262249.719694594,1021.02,J,22.0,186.29647207562812,138.2362785115838,6.579999999999927
596170.9738391244,7262247.448563319,1021.02,J,22.0,185.86535212688614,135.9651472363621,6.579999999999927
596170.8315389241,7262245.268258051,1021.02,J,22.0,185.72305192658678,133.78484196867794,6.579999999999927
596170.6908935223,7262244.545227168,1021.01,J,22.0,185.58240652480163,133.0618110857904,6.569999999999936
596170.5935536718,7262242.735888112,1021.01,J,22.0,185.48506667430047,131.2524720299989,6.569999999999936
596170.652742894,7262240.275703907,1021.01,J,22.0,185.54425589647144,128.79228782467544,6.569999999999936
596171.0443570365,7262238.082396414,1021.0,J,22.0,185.93587003892753,126.59898033179343,6.559999999999945
596171.0563597695,7262236.151634788,1021.0,J,22.0,185.94787277199794,124.66821870580316,6.559999999999945
596170.8600866629,7262234.742113277,1020.2,J,22.0,185.75159966538195,123.2586971949786,5.759999999999991
596170.8236973151,7262233.164395606,1020.2,J,22.0,185.71521031751763,121.68097952380776,5.759999999999991
596170.6058857915,7262231.095997676,1020.19,J,22.0,185.4973987939302,119.61258159391582,5.75
596170.5072556566,7262229.101022659,1020.18,J,22.0,185.398768659099,117.61760657653213,5.739999999999895
596170.223578112,7262227.311538819,1020.18,J,22.0,185.11509111442138,115.82812273688614,5.739999999999895
596170.198523929,7262224.926202516,1020.18,J,22.0,185.09003693144768,113.442786433734,5.739999999999895
596170.0626978752,7262222.458104802,1020.18,J,22.0,184.95421087765135,110.97468871995807,5.739999999999895
596169.9280330776,7262220.1570727825,1020.18,J,22.0,184.819546080078,108.67365670017898,5.739999999999895
596169.9808772567,7262218.003251141,1020.18,J,22.0,184.8723902591737,106.51983505859971,5.739999999999895
596169.8708056079,7262215.581374551,1020.19,J,22.0,184.7623186103301,104.09795846883208,5.75
596169.7604758994,7262213.12236855,1020.18,J,22.0,184.6519889018964,101.63895246759057,5.739999999999895
596169.5656450229,7262210.701092159,1020.18,J,22.0,184.45715802535415,99.21767607703805,5.739999999999895
596169.6753650196,7262208.19414541,1020.19,J,22.0,184.56687802204397,96.71072932798415,5.75
596169.8127648053,7262206.011895919,1019.38,J,22.0,184.70427780773025,94.52847983688116,4.939999999999941
596169.9542390138,7262204.414381847,1019.37,J,22.0,184.84575201629195,92.93096576444805,4.92999999999995
596169.7217380303,7262202.670953475,1019.38,J,22.0,184.6132510327734,91.18753739260137,4.939999999999941
596169.4710534372,7262200.751297683,1019.38,J,22.0,184.36256643966772,89.26788160111755,4.939999999999941
