x,y,z
3611631.335856143,-4522690.383583806,-2673039.663906193
3611631.1270805756,-4522690.379957711,-2673039.9501957158
3611623.842993081,-4522680.878486135,-2673065.7419274068
3611615.0660617906,-4522669.62969998,-2673090.496387215
3611609.477344172,-4522658.139927704,-2673113.1082354467
3611602.8670573374,-4522645.085967149,-2673136.0432686796
3611586.60113435,-4522647.715847257,-2673149.207379805
3611580.3636907283,-4522651.370529338,-2673149.6574066337
3611565.4909152244,-4522661.294546899,-2673148.9069574475
3611541.8117499882,-4522678.901951699,-2673149.386479529
3611528.5673341085,-4522689.942430345,-2673146.7799143693
3611518.927370485,-4522697.504648376,-2673145.27644102
3611509.769954206,-4522704.6127594225,-2673145.785914973
3611497.9692076193,-4522713.743260284,-2673146.396425903
3611490.7791310707,-4522721.7546497965,-2673148.4398559164
3611479.352650177,-4522732.9278751565,-2673150.996973076
3611462.3609281923,-4522748.24475926,-2673151.6631112467
3611442.344650499,-4522765.37800336,-2673152.173162783
3611441.408029738,-4522766.498240533,-2673151.571122063
3611431.222097565,-4522781.192662959,-2673142.608201023
3611431.700480686,-4522783.772897487,-2673139.598432215
3611436.0378254014,-4522789.177631089,-2673128.3708307436
3611442.8717978806,-4522795.483658422,-2673112.5626118765
3611448.6295507397,-4522802.463711807,-2673098.868328081
3611449.354719526,-4522802.340593019,-2673098.102076561
3611462.441584539,-4522798.267236257,-2673089.1642874517
3611472.6803141395,-4522798.673652415,-2673077.1363513265
3611480.078041711,-4522803.338099618,-2673061.1717155264
3611488.1612479705,-4522803.338262122,-2673050.3472864726
3611498.389424576,-4522802.971496943,-2673037.3082802114
3611507.753544917,-4522804.684278996,-2673021.886261859
3611518.7606094927,-4522800.59789523,-2673013.9584130435
3611529.4921071245,-4522796.437763957,-2673006.4768285747
3611541.4056046894,-4522796.824516037,-2672989.838014604
3611541.9333950696,-4522794.961589702,-2672986.805317617
3611553.1339727934,-4522789.054919492,-2672979.542152245
3611555.170627591,-4522787.263272167,-2672979.8200246054
3611577.80661186,-4522767.195373337,-2672983.192422821
3611594.1517360024,-4522753.6056595035,-2672982.1983457664
3611603.3345811022,-4522739.188228436,-2672994.176463135
3611603.8332266505,-4522738.998519186,-2672999.4237694633
3611603.974408763,-4522738.374747856,-2673000.282651122
3611606.551346345,-4522734.545885004,-2673005.32279781
3611617.482969018,-4522720.079569613,-2673018.712226931
3611629.129341981,-4522702.844751911,-2673032.0712458533
3611635.662694962,-4522692.97958196,-2673039.9064607862
