x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
460564.1622800339,7242060.422388315,883.16,J,22.0,213.8605103159207,127.52721826173365,14.120000000000005
460564.002392906,7242060.106369796,883.16,J,22.0,213.7006231879932,127.21119974274188,14.120000000000005
460564.3210277227,7242031.687944119,883.18,J,22.0,214.01925800467143,98.79277406539768,14.139999999999986
460564.56358607364,7242003.24146123,880.68,J,22.0,214.26181635563262,70.34629117697477,11.639999999999986
460567.4387068132,7241977.5033980375,878.91,J,22.0,217.13693709520157,44.608227984048426,9.870000000000005
460570.4946259708,7241950.689223217,875.59,J,22.0,220.19285625277553,17.79405316337943,6.550000000000068
460556.1946616669,7241935.306124251,873.8,J,22.0,205.89289194886805,2.410954197868705,4.759999999999991
460549.0462189803,7241934.4409758635,873.05,J,22.0,198.74444926227443,1.545805810019374,4.009999999999991
460531.2408755646,7241934.426892731,871.35,J,22.0,180.93910584656987,1.531722677871585,2.310000000000059
460501.7682378924,7241933.478909632,870.63,J,22.0,151.46646817441797,0.5837395787239075,1.5900000000000318
460484.5312124923,7241935.944511572,869.86,J,22.0,134.22944277431816,3.049341518431902,0.82000000000005
460472.28207271884,7241937.22717057,869.13,J,22.0,121.98030300083337,4.332000516355038,0.09000000000003183
460460.69834546716,7241936.664755909,869.2,J,22.0,110.39657574915327,3.769585855305195,0.16000000000008185
460445.78916517744,7241935.972081717,869.25,J,22.0,95.48739545943681,3.076911663636565,0.21000000000003638
460435.1802956483,7241934.837024117,871.72,J,22.0,84.8785259302822,1.9418540634214878,2.6800000000000637
460419.29232611693,7241933.148403091,874.25,J,22.0,68.9905563989305,0.25323303788900375,5.210000000000036
460396.4688654602,7241933.054690495,875.77,J,22.0,46.167095742188394,0.15952044166624546,6.730000000000018
460370.15052092413,7241932.8951700535,876.8,J,22.0,19.8487512061256,0.0,7.759999999999991
460368.7184183608,7241933.5592793,876.81,J,22.0,18.416648642800283,0.6641092468053102,7.769999999999982
460351.5689250326,7241943.793414723,877.68,J,22.0,1.26715531462105,10.898244669660926,8.639999999999986
460350.32268482225,7241947.49305372,878.51,J,22.0,0.02091510425088927,14.597883666865528,9.470000000000027
460350.301769718,7241960.588916628,880.06,J,22.0,0.0,27.69374657422304,11.019999999999982
460351.6539560897,7241978.793456373,881.73,J,22.0,1.352186371688731,45.898286319337785,12.690000000000055
460351.75093452074,7241995.017456825,884.16,J,22.0,1.4491648027324118,62.122286771424115,15.120000000000005
460352.39165731694,7241995.8639033595,884.16,J,22.0,2.0898875989369117,62.96873330604285,15.120000000000005
460365.12380147784,7242006.100839658,884.91,J,22.0,14.822031759831589,73.20566960424185,15.870000000000005
460372.8274436699,7242019.850143242,885.92,J,22.0,22.525673951895442,86.9549731882289,16.879999999999995
460375.64443720045,7242037.808315743,886.68,J,22.0,25.342667482444085,104.91314568929374,17.639999999999986
460381.92308600195,7242049.762192553,886.69,J,22.0,31.62131628394127,116.8670224994421,17.65000000000009
460390.09877958434,7242064.171814799,886.72,J,22.0,39.79700986633543,131.27664474584162,17.680000000000064
460396.2951401397,7242081.193048999,886.73,J,22.0,45.993370421696454,148.29787894524634,17.690000000000055
460407.4152528498,7242089.958845298,886.72,J,22.0,57.11348313180497,157.0636752443388,17.680000000000064
460418.36758031545,7242098.222961076,886.69,J,22.0,68.06581059744349,165.3277910221368,17.65000000000009
460427.37820573326,7242116.588800796,886.69,J,22.0,77.07643601525342,183.69363074284047,17.65000000000009
460428.94570219406,7242118.8672442585,884.39,J,22.0,78.64393247605767,185.97207420505583,15.350000000000023
460441.3555236938,7242126.485845702,883.48,J,22.0,91.05375397577882,193.59067564830184,14.440000000000055
460444.0644672676,7242126.1873758845,883.48,J,22.0,93.76269754959503,193.29220583103597,14.440000000000055
460474.27002494416,7242122.561904843,883.49,J,22.0,123.96825522615109,189.66673478949815,14.450000000000045
460495.50927925605,7242123.347016154,882.69,J,22.0,145.20750953804236,190.45184610038996,13.650000000000091
460511.7109573246,7242110.204921929,882.72,J,22.0,161.40918760659406,177.30975187569857,13.680000000000064
460512.23221290193,7242105.519367194,885.08,J,22.0,161.9304431839264,172.62419714033604,16.040000000000077
460512.73423278634,7242104.574124029,885.08,J,22.0,162.43246306834044,171.67895397543907,16.040000000000077
460517.149645596,7242099.435705431,885.95,J,22.0,166.847875877982,166.54053537733853,16.910000000000082
460534.7500224394,7242085.462293804,887.53,J,22.0,184.4482527213986,152.5671237502247,18.49000000000001
460554.6372765091,7242070.799351431,887.54,J,22.0,204.3355067910743,137.90418137796223,18.5
460565.91740914516,7242062.200168237,887.55,J,22.0,215.61563942715293,129.30499818362296,18.50999999999999
460558.75600235385,7242039.329019567,884.58,J,22.0,208.45423263584962,106.43384951353073,15.540000000000077
460550.32541526674,7242031.100115511,884.6,J,22.0,200.02364554873202,98.20494545716792,15.56000000000006
460540.839616989,7242024.910047626,882.73,J,22.0,190.53784727101447,92.01487757265568,13.690000000000055
460533.8904927346,7242019.460503399,881.52,J,22.0,183.58872301661177,86.56533334590495,12.480000000000018
460523.36260040384,7242013.685088785,880.65,J,22.0,173.06083068583393,80.78991873189807,11.610000000000014
460516.08743082616,7242006.851687334,879.9,J,22.0,165.78566110815154,73.95651728007942,10.860000000000014
460509.0113660447,7241998.468864279,876.78,J,22.0,158.7095963266911,65.57369422540069,7.740000000000009
460498.017126535,7241990.074767921,875.91,J,22.0,147.71535681700334,57.179597867652774,6.8700000000000045
460492.4279531183,7241985.520119254,875.97,J,22.0,142.12618340027984,52.624949200078845,6.930000000000064
460487.44792042376,7241983.9650775045,875.1,J,22.0,137.14615070575383,51.06990745104849,6.060000000000059
460481.76240391884,7241980.542463204,875.14,J,22.0,131.46063420083374,47.64729315042496,6.100000000000023
460465.1464712502,7241973.023148052,874.37,J,22.0,114.84470153221628,40.127977998927236,5.330000000000041
460455.56180230447,7241971.798232872,874.45,J,22.0,105.26003258646233,38.903062818571925,5.410000000000082
460453.5679444936,7241976.516669721,876.79,J,22.0,103.26617477560649,43.62149966787547,7.75
460450.35773955396,7241980.442691373,878.38,J,22.0,100.05596983595751,47.54752131924033,9.340000000000032
460445.9780057958,7241982.017173037,879.12,J,22.0,95.67623607779387,49.12200298346579,10.080000000000041
460442.51157921087,7241980.884141849,879.13,J,22.0,92.20980949286604,47.988971795886755,10.090000000000032
460427.45377677097,7241978.891644929,881.61,J,22.0,77.15200705296593,45.99647487513721,12.57000000000005
460413.63484163093,7241972.818930305,882.73,J,22.0,63.33307191292988,39.923760251142085,13.690000000000055
460402.9092050743,7241965.214439921,883.5,J,22.0,52.60743535630172,32.31926986761391,14.460000000000036
460399.69905088504,7241963.256100828,883.5,J,22.0,49.39728116703918,30.360930774360895,14.460000000000036
460390.11542551604,7241955.812675861,883.51,J,22.0,39.813655798032414,22.917505807243288,14.470000000000027
460387.03298255045,7241953.585539332,881.22,J,22.0,36.73121283244109,20.69036927819252,12.180000000000064
460381.4565824169,7241947.555157082,881.29,J,22.0,31.154812698892783,14.659987028688192,12.25
460379.9701580143,7241943.587740315,880.4,J,22.0,29.66838829626795,10.692570261657238,11.360000000000014
460377.6310266485,7241935.988887082,880.45,J,22.0,27.329256930504926,3.093717028386891,11.410000000000082
460377.48769134266,7241935.80284493,880.45,J,22.0,27.18592162465211,2.907674876973033,11.410000000000082
460568.19106693164,7241939.50791854,878.72,J,22.0,217.8892972136382,6.612748486921191,9.680000000000064
460566.68019329285,7241941.08139322,878.75,J,22.0,216.37842357484624,8.18622316699475,9.710000000000036
460563.9448438773,7241944.693235707,878.74,J,22.0,213.6430741592776,11.798065653070807,9.700000000000045
460562.3362662918,7241947.872105971,878.72,J,22.0,212.0344965737895,14.976935917511582,9.680000000000064
460550.62672200834,7241958.688276673,880.78,J,22.0,200.3249522903352,25.793106619268656,11.740000000000009
460540.6510198912,7241966.90138417,880.72,J,22.0,190.3492501731962,34.006214116699994,11.680000000000064
460536.05508889846,7241970.090217594,880.7,J,22.0,185.75331918045413,37.19504754059017,11.660000000000082
460527.6539729233,7241975.170757813,880.65,J,22.0,177.35220320528606,42.275587759912014,11.610000000000014
